date,value
2011-01-01,295.99
2010-12-01,274.46
2010-11-01,241.84
2010-10-01,234.6
2010-09-01,240.43
2010-08-01,219.88
2010-07-01,182.74
2010-06-01,149.21
2010-05-01,158.33
2010-04-01,156.83
2010-03-01,156.46
2010-02-01,160.16
2010-01-01,167.82
2009-12-01,171.16
2009-11-01,177.61
2009-10-01,163.73
2009-09-01,156.93
2009-08-01,179.55
2009-07-01,195.33
2009-06-01,227.31
2009-05-01,227.19
2009-04-01,200.89
2009-03-01,199.1
2009-02-01,195.22
2009-01-01,211.28
2008-12-01,188.84
2008-11-01,194.11
2008-10-01,202.77
2008-09-01,263.05
2008-08-01,304.16
2008-07-01,299.43
2008-06-01,314.16
2008-05-01,288.42
2008-04-01,326.85
2008-03-01,403.81
2008-02-01,393.87
2008-01-01,336.12
2007-12-01,339.23
2007-11-01,286.5
2007-10-01,303.63
2007-09-01,297.95
2007-08-01,240.69
2007-07-01,222.0
2007-06-01,206.52
2007-05-01,178.01
2007-04-01,178.56
2007-03-01,173.31
2007-02-01,175.27
2007-01-01,172.57
2006-12-01,179.53
2006-11-01,182.3
2006-10-01,182.43
2006-09-01,164.94
2006-08-01,165.13
2006-07-01,181.35
2006-06-01,176.92
2006-05-01,176.6
2006-04-01,161.21
2006-03-01,155.79
2006-02-01,158.89
2006-01-01,144.57
2005-12-01,139.99
2005-11-01,136.35
2005-10-01,143.07
2005-09-01,137.39
2005-08-01,131.56
2005-07-01,130.16
2005-06-01,122.47
2005-05-01,119.15
2005-04-01,120.06
2005-03-01,129.96
2005-02-01,123.13
2005-01-01,122.78
2004-12-01,123.55
2004-11-01,127.13
2004-10-01,123.06
2004-09-01,126.82
2004-08-01,122.06
2004-07-01,132.39
2004-06-01,136.86
2004-05-01,143.18
2004-04-01,146.06
2004-03-01,142.55
2004-02-01,141.73
2004-01-01,147.29
2003-12-01,145.07
2003-11-01,141.35
2003-10-01,130.06
2003-09-01,130.65
2003-08-01,133.48
2003-07-01,115.78
2003-06-01,118.16
2003-05-01,131.05
2003-04-01,126.05
2003-03-01,129.25
2003-02-01,141.66
2003-01-01,140.48
2002-12-01,149.2
2002-11-01,164.28
2002-10-01,180.04
2002-09-01,173.34
2002-08-01,149.61
2002-07-01,132.64
2002-06-01,115.41
2002-05-01,104.1
2002-04-01,104.8
2002-03-01,102.55
2002-02-01,103.84
2002-01-01,106.19
2001-12-01,104.37
2001-11-01,106.8
2001-10-01,104.83
2001-09-01,103.18
2001-08-01,104.22
2001-07-01,108.34
2001-06-01,109.43
2001-05-01,110.77
2001-04-01,106.15
2001-03-01,105.57
2001-02-01,103.32
2001-01-01,109.48
2000-12-01,113.74
2000-11-01,105.04
2000-10-01,107.78
2000-09-01,103.44
2000-08-01,96.65
2000-07-01,97.13
2000-06-01,103.37
2000-05-01,99.11
2000-04-01,94.43
2000-03-01,96.4
2000-02-01,98.17
2000-01-01,93.62
1999-12-01,90.44
1999-11-01,91.68
1999-10-01,88.55
1999-09-01,94.8
1999-08-01,98.02
1999-07-01,93.01
1999-06-01,99.94
1999-05-01,99.61
1999-04-01,102.33
1999-03-01,104.58
1999-02-01,104.28
1999-01-01,111.89
1998-12-01,111.8
1998-11-01,115.61
1998-10-01,112.16
1998-09-01,97.57
1998-08-01,97.0
1998-07-01,106.62
1998-06-01,112.37
1998-05-01,118.35
1998-04-01,118.2
1998-03-01,128.24
1998-02-01,128.31
1998-01-01,127.35
1997-12-01,129.73
1997-11-01,135.38
1997-10-01,136.21
1997-09-01,138.24
1997-08-01,139.35
1997-07-01,130.41
1997-06-01,141.2
1997-05-01,168.4
1997-04-01,175.57
1997-03-01,167.71
1997-02-01,164.17
1997-01-01,167.79
1996-12-01,167.83
1996-11-01,169.27
1996-10-01,169.6
1996-09-01,170.98
1996-08-01,181.5
1996-07-01,196.39
1996-06-01,215.23
1996-05-01,248.59
1996-04-01,239.52
1996-03-01,205.26
1996-02-01,206.17
1996-01-01,196.43
1995-12-01,208.92
1995-11-01,204.07
1995-10-01,203.79
1995-09-01,193.67
1995-08-01,184.39
1995-07-01,190.09
1995-06-01,169.98
1995-05-01,158.61
1995-04-01,148.98
1995-03-01,150.39
1995-02-01,154.42
1995-01-01,156.21
1994-12-01,164.62
1994-11-01,161.99
1994-10-01,167.19
1994-09-01,158.79
1994-08-01,146.02
1994-07-01,137.6
1994-06-01,139.3
1994-05-01,140.15
1994-04-01,140.45
1994-03-01,141.04
1994-02-01,147.04
1994-01-01,153.21
1993-12-01,158.65
1993-11-01,146.5
1993-10-01,135.96
1993-09-01,131.29
1993-08-01,129.8
1993-07-01,127.52
1993-06-01,121.82
1993-05-01,136.58
1993-04-01,141.99
1993-03-01,147.9
1993-02-01,148.88
1993-01-01,155.65
1992-12-01,147.83
1992-11-01,147.57
1992-10-01,140.58
1992-09-01,138.74
1992-08-01,128.17
1992-07-01,136.32
1992-06-01,148.67
1992-05-01,149.69
1992-04-01,159.93
1992-03-01,169.35
1992-02-01,177.13
1992-01-01,169.95
1991-12-01,160.84
1991-11-01,149.54
1991-10-01,146.89
1991-09-01,135.37
1991-08-01,125.33
1991-07-01,118.21
1991-06-01,120.15
1991-05-01,122.04
1991-04-01,120.89
1991-03-01,119.42
1991-02-01,113.91
1991-01-01,111.33
1990-12-01,113.17
1990-11-01,112.8
1990-10-01,114.64
1990-09-01,114.27
1990-08-01,116.84
1990-07-01,124.93
1990-06-01,135.58
1990-05-01,149.18
1990-04-01,159.47
1990-03-01,156.53
1990-02-01,160.94
1990-01-01,167.92
